Source,Target,weight,isDirectional
1,376,0.7768985960673559,True
1,1074,0.8970852271450604,True
1,1281,0.7715167498104595,True
1,1620,0.7857142857142858,True
1,2219,0.8017837257372732,True
1,2727,0.7857142857142858,True
1,5078,0.8017837257372732,True
1,5605,0.8017837257372732,True
1,6590,0.7768985960673559,True
1,7568,0.8189230248533257,True
1,7637,0.828078671210825,True
1,7710,0.9074852129730302,True
1,7968,0.8189230248533257,True
1,8485,0.7778444682625973,True
1,8671,0.7778444682625973,True
1,8734,0.7778444682625973,True
1,9029,0.7768985960673559,True
1,9316,0.7857142857142858,True
1,9589,0.8426648406178137,True
4,1377,0.9999999999999999,True
4,1502,0.8183170883849713,True
4,1630,0.8451542547285164,True
4,1916,0.9511897312113418,True
4,2234,0.7938841860374446,True
4,2328,0.9011271137791659,True
4,4622,0.8095238095238094,True
4,5052,0.846809798439941,True
4,5697,0.8728715609439694,True
4,5961,0.9271050693011064,True
4,6067,0.9523809523809522,True
4,6154,0.9047619047619045,True
4,6214,0.816496580927726,True
4,6274,0.8743856497851875,True
4,6951,0.8510644963469901,True
4,6992,0.9258200997725514,True
4,7045,0.7938841860374446,True
4,7314,0.816496580927726,True
4,7796,0.9511897312113418,True
4,7859,0.8510644963469901,True
4,8713,0.816496580927726,True
4,8961,0.8010018789148141,True
4,9096,0.8183170883849713,True
4,9574,0.8010018789148141,True
5,1101,0.8488746876271653,True
5,1956,0.7514691493021793,True
5,1978,0.7938841860374446,True
5,2102,0.7701540462154053,True
5,2104,0.7647058823529411,True
5,3847,0.8003267306650411,True
5,7076,0.8488746876271653,True
5,8492,0.7592566023652966,True
5,8750,0.7647058823529411,True
5,8973,0.7778444682625973,True
5,9070,0.8003267306650411,True
7,694,0.7514691493021793,True
7,1219,0.7333333333333332,True
7,2617,0.7333333333333332,True
7,4337,0.7745966692414833,True
7,6178,0.7302967433402214,True
7,8472,0.7877263614433762,True
7,9471,0.7590721152765896,True
8,715,0.7715167498104596,True
8,4387,0.7833494518006403,True
8,4415,0.7484551991837488,True
8,4702,0.8401680504168059,True
8,6450,0.8401680504168059,True
8,7134,0.7701540462154053,True
8,8178,0.8006407690254357,True
8,8524,0.7484551991837488,True
8,8665,0.8006407690254357,True
8,8913,0.7833494518006403,True
8,9624,0.7701540462154053,True
9,1593,0.7938566201357353,True
9,2089,0.8164965809277259,True
9,2733,0.7938566201357353,True
9,3773,0.7715167498104596,True
9,7243,0.7715167498104596,True
9,7348,0.7701540462154053,True
9,8017,0.7938566201357353,True
9,8249,0.7745966692414833,True
9,9260,0.7715167498104596,True
10,3047,0.76271276980969,True
10,3129,0.7399400733959437,True
10,6491,0.8320502943378437,True
10,6657,0.76271276980969,True
10,7033,0.76271276980969,True
10,7111,0.7844645405527362,True
10,7314,0.7412493166611013,True
10,8576,0.7692307692307694,True
16,587,0.8003267306650411,True
16,4720,0.7701540462154053,True
16,5060,0.7647058823529411,True
16,7117,0.7882407813680822,True
16,7352,0.8902638145194516,True
16,7398,0.7647058823529411,True
16,7679,0.7647058823529411,True
16,7859,0.7789808377045201,True
16,8165,0.807207352795575,True
16,8953,0.7778444682625973,True
16,9096,0.7882407813680822,True
19,389,0.7833494518006403,True
19,670,0.7526178090063818,True
19,940,0.7526178090063818,True
19,1088,0.7526178090063818,True
19,2233,0.778498944161523,True
19,2738,0.8058229640253805,True
19,3021,0.778498944161523,True
19,3432,0.7833494518006403,True
19,3710,0.778498944161523,True
19,3802,0.7526178090063818,True
19,6340,0.778498944161523,True
23,895,0.7789808377045201,True
23,1773,0.8134892168199606,True
23,1936,0.7882407813680822,True
23,2251,0.7882407813680822,True
23,3020,0.7647058823529411,True
23,3242,0.7647058823529411,True
23,3347,0.7882407813680822,True
23,5078,0.7882407813680822,True
23,6213,0.7647058823529411,True
23,7127,0.7789808377045201,True
23,9275,0.7789808377045201,True
23,9317,0.846809798439941,True
23,9624,0.7647058823529411,True
24,3202,0.7715167498104595,True
24,5794,0.7590721152765896,True
24,6450,0.7778444682625973,True
24,7142,0.7412493166611012,True
24,7490,0.8017837257372732,True
25,268,0.7570332986102252,True
25,447,0.7789808377045201,True
25,1549,0.7970811413304556,True
25,2267,0.7694837640638656,True
25,3118,0.7789808377045201,True
25,3598,0.7456011350793258,True
25,4249,0.7789808377045201,True
25,4958,0.77005354108682,True
25,5016,0.7970811413304556,True
25,5838,0.7509392614826383,True
25,6025,0.7509392614826383,True
25,6948,0.7789808377045201,True
25,7386,0.8111071056538127,True
25,8268,0.7789808377045201,True
25,9298,0.7894736842105264,True
31,883,0.7882407813680822,True
31,923,0.7647058823529411,True
31,1286,0.7701540462154053,True
31,1786,0.7647058823529411,True
31,2894,0.7647058823529411,True
31,3668,0.8235294117647058,True
31,4018,0.8140915784106942,True
31,4600,0.7701540462154053,True
31,4807,0.8003267306650411,True
31,5302,0.7778444682625973,True
31,5512,0.7647058823529411,True
31,5660,0.8003267306650411,True
31,6543,0.7882407813680822,True
31,6812,0.8574929257125441,True
31,7214,0.7647058823529411,True
31,7951,0.7647058823529411,True
31,8941,0.7514691493021793,True
37,2897,0.7302967433402214,True
37,6788,0.8333333333333333,True
37,7359,0.7701540462154053,True
41,481,0.76271276980969,True
41,555,0.8391463916782735,True
41,1346,0.8249579113843054,True
41,1463,0.7882407813680822,True
41,2241,0.7660323462854265,True
41,2525,0.8017837257372732,True
41,3981,0.75,True
41,5602,0.76271276980969,True
41,6002,0.8017837257372732,True
41,6205,0.7745966692414833,True
41,6845,0.7349684152591671,True
41,6847,0.7938566201357353,True
41,7098,0.76271276980969,True
41,7307,0.75,True
41,9594,0.75,True
43,469,0.7715167498104596,True
43,1213,0.75,True
43,2838,0.7715167498104596,True
43,4507,0.8703882797784892,True
43,9379,0.7938566201357353,True
52,1749,0.7142857142857143,True
52,2280,0.7142857142857143,True
52,7321,0.7142857142857143,True
52,8040,0.7349684152591671,True
58,296,0.7999999999999998,True
58,1638,0.7877263614433762,True
58,1957,0.7745966692414833,True
58,2245,0.7911548052852398,True
58,2308,0.7888106377466154,True
58,2905,0.7745966692414833,True
58,3369,0.7877263614433762,True
58,3371,0.8140915784106942,True
58,3653,0.7784989441615229,True
58,4268,0.8593378488473195,True
58,4476,0.7911548052852398,True
58,4678,0.808290376865476,True
58,5703,0.7745966692414833,True
58,5714,0.7745966692414833,True
58,5738,0.7999999999999998,True
58,5869,0.8593378488473195,True
58,6186,0.7745966692414833,True
58,6300,0.8140915784106942,True
58,6461,0.828078671210825,True
58,9594,0.7745966692414833,True
59,757,0.7877263614433762,True
59,2598,0.7745966692414833,True
59,2662,0.7999999999999998,True
59,3001,0.7745966692414833,True
59,3440,0.7911548052852398,True
59,4496,0.808290376865476,True
59,4546,0.7784989441615229,True
59,5605,0.8391463916782735,True
59,5681,0.8140915784106942,True
59,6294,0.8198915917499228,True
59,6562,0.7911548052852398,True
59,7648,0.7911548052852398,True
59,7892,0.7999999999999998,True
59,7967,0.7745966692414833,True
59,7968,0.7911548052852398,True
59,8041,0.7745966692414833,True
59,8373,0.7877263614433762,True
59,9521,0.7745966692414833,True
66,332,0.7882407813680822,True
66,719,0.7276068751089989,True
66,817,0.75,True
66,845,0.7276068751089989,True
66,1497,0.75,True
66,2465,0.76271276980969,True
66,2592,0.7349684152591671,True
66,2947,0.75,True
66,4731,0.7276068751089989,True
66,6443,0.7882407813680822,True
66,7127,0.7456011350793258,True
66,8439,0.8320502943378437,True
66,9521,0.75,True
67,654,0.7592566023652966,True
67,1142,0.7514691493021793,True
67,1403,0.7647058823529411,True
67,1803,0.7701540462154053,True
67,2423,0.7647058823529411,True
67,4184,0.8043996665398437,True
67,6631,0.7778444682625973,True
67,6904,0.8003267306650411,True
67,7133,0.8003267306650411,True
67,7859,0.7789808377045201,True
67,8395,0.8488746876271653,True
67,8853,0.7778444682625973,True
67,9046,0.7778444682625973,True
67,9158,0.7789808377045201,True
67,9563,0.7778444682625973,True
68,612,0.8153742483272114,True
68,1905,0.7442084075352507,True
68,1977,0.76271276980969,True
68,2563,0.787726361443376,True
68,2576,0.7844645405527362,True
68,2894,0.807207352795575,True
68,3802,0.7692307692307694,True
68,3827,0.8320502943378437,True
68,4328,0.7692307692307694,True
68,5234,0.787726361443376,True
68,5452,0.8006407690254357,True
68,5576,0.8320502943378437,True
68,6987,0.76271276980969,True
68,8611,0.787726361443376,True
68,9069,0.76271276980969,True
68,9576,0.787726361443376,True
