id,Multitasking (Montasker -- Multitasker),Breadth (Specialist -- Generalist),Collaboration (Solo Creator -- Collaborator),Confidence (Self-Critical -- Self-Assured),Focus (Distractible -- Focused),Inspriation Source (Inward -- Outward),Creative Reasoning (Rational -- Intuitive),Motivation (Internal -- External),Movement (NonKinetic -- Kinetic),Organization (Controlled Chaos -- Organized),Pace (Slow -- Fast),Perfectionism (Pragmastist -- Perfectionist),Risk (Risk Averse -- Risk Loving),Stategy (Make It Happen -- Let It Happen),Tactic (Tenacious -- Reframer),Workspace (Private -- Public),Noise (Silence -- Noise/Music),Nature (Urban -- Nature),Ritual (Novetly Seeker -- Creature of Habit),Constraints (Stifle By -- Stimulated By),Creative Biorhythm,Gender,Age,Discipline
53bb255738bbc38455c6dbea,5,2,4,1,3,3,3,3,3,3,5,1,2,2,2,3,4,4,4,4, After Midnight,,,
5657e4717506b0c73e822f7a,2,4,2,1,4,4,2,3,5,3,1,4,1,2,2,1,1,4,3,3, Morning ,,,
545bd878a93a36a867d2c007,3,3,4,1,4,5,5,3,5,5,3,3,4,5,3,2,2,5,3,5,Pre Dawn | After Midnight,Female,32,Business
563c1d821c5ea80942e35cfb,4,1,5,1,3,3,4,4,5,4,2,2,3,4,4,4,4,5,1,5,Pre Dawn | After Midnight| Morning ,Female,38,Architecture|Design|Food|SustainableDesign
565d6f6234f44bc709a61680,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5, Morning ,,,
565dd58020c5b5f009a6ae5f,5,5,5,1,2,3,5,1,5,3,4,3,4,,,,,,,,,,,
565ddaa420c5b5f009a6ae74,3,1,1,1,4,3,5,2,5,4,2,5,2,5,5,1,2,3,5,4, Morning |Pre Dawn ,Female,65,Art
565df5e120c5b5f009a6ae91,2,4,4,4,3,5,2,4,5,2,4,3,4,4,1,2,4,4,2,2, Evening | Afternoon ,Male,19,GraphicDesign
565df61320c5b5f009a6ae9b,3,2,2,2,4,2,4,2,5,2,4,4,5,3,4,5,2,5,2,2, Morning ,,,
565df63f781f5ee40d833271,2,3,2,2,4,4,4,2,5,5,4,4,3,3,3,1,2,5,3,2, Evening ,,,
565df6c7781f5ee40d8332b1,3,5,4,2,3,5,5,5,5,2,3,4,5,3,4,5,3,4,1,2, Morning | Evening ,Female,29,Author|Writing|Journalism
565df6a2781f5ee40d833294,4,5,3,2,2,4,2,5,5,4,3,4,3,4,4,4,5,4,3,4, Morning | Afternoon ,Female,23,Business
565df61120c5b5f009a6ae98,3,5,2,4,5,4,1,5,5,4,4,2,4,2,2,3,4,3,1,1,Pre Dawn ,Male,29,Sports
565df68920c5b5f009a6aec0,4,5,2,4,5,2,3,4,2,5,5,4,3,1,4,4,4,2,2,4, Morning | Evening ,Female,22,Politics|PolicyWork|Writing
565df6a920c5b5f009a6aecf,1,4,2,3,4,3,4,3,2,3,4,5,4,4,3,2,3,2,3,3, Evening | Morning | After Midnight,,,
565df6bd781f5ee40d8332a9,3,4,1,1,3,5,1,3,4,4,2,2,1,3,1,1,4,4,1,1, Morning ,Male,24,Journalism|Music
565df6ae781f5ee40d8332a0,2,4,1,4,3,5,4,3,4,4,3,2,1,2,2,4,3,3,5,3, Evening | Afternoon ,Male,16,Activism|Environment|Exploration|Photography|Writing
565df75b20c5b5f009a6af19,5,5,3,3,4,4,1,4,5,5,5,5,4,3,4,1,2,1,5,3,Pre Dawn | Morning ,Female,25,Design|Fashion|Invention|Research|Sports|Technology
565df7d020c5b5f009a6af43,2,4,3,2,1,4,4,3,4,5,2,1,4,3,2,3,2,2,4,3, Evening | Morning ,,,
565df633781f5ee40d83326c,3,2,3,3,1,1,5,4,4,5,3,3,4,3,4,2,5,3,1,3, Evening | Afternoon ,Male,20,Design|VisualArt|Art|Music
565df6ae781f5ee40d83329d,3,4,2,3,3,2,4,3,5,4,4,4,4,3,4,1,5,5,1,2, Evening | Afternoon | After Midnight,Male,20,Art|Composer|Fashion|Food|GraphicDesign|Journalism|Literature|HumanRights|Music|Producer
565df8b820c5b5f009a6af9c,3,5,2,1,3,3,5,3,4,1,4,5,2,4,2,1,2,3,3,4, Afternoon | Evening | After Midnight,,,
565df834781f5ee40d833332,5,3,4,2,5,5,5,5,4,4,4,3,3,4,3,1,5,2,4,3, Morning ,Male,30,Photography
565df83c20c5b5f009a6af6b,2,4,1,1,4,4,4,5,4,4,4,5,4,4,3,1,5,2,1,5, After Midnight| Evening |Pre Dawn ,,,
565df866781f5ee40d83334a,2,4,3,1,5,5,1,5,5,5,1,5,5,1,1,1,3,3,2,1, Evening ,Male,20,
565df7b420c5b5f009a6af39,1,3,4,2,3,4,3,2,3,5,4,2,4,4,2,2,1,5,1,1, Evening | After Midnight,Female,,
565df92b20c5b5f009a6afc1,3,1,1,1,4,5,1,2,2,2,2,1,2,4,4,1,3,2,2,2, Evening | After Midnight| Afternoon ,Male,20,Technology|VisualArt|Business|DJ
565df941781f5ee40d833394,2,3,2,4,5,4,1,5,5,4,5,1,3,2,2,2,3,1,2,4, After Midnight|Pre Dawn ,,,
565dfa3820c5b5f009a6aff5,4,1,3,3,5,5,5,3,5,3,5,3,3,5,4,1,1,5,3,5, Evening | Morning ,Female,30,Business|DataScience|DataVisualization|Research
565df80820c5b5f009a6af59,2,4,3,2,3,3,4,1,2,2,4,3,2,3,2,1,4,4,4,1, Morning | Afternoon ,Male,18,Art|Editing|Photography|Sculpture
565df9f2781f5ee40d8333b2,4,5,5,3,5,1,1,3,5,4,5,3,3,3,3,1,3,5,3,1, Morning ,Male,27,VisualArt|Technology|Sports|Design|Directing|Art
565dfa51781f5ee40d8333cb,3,5,3,1,5,2,2,5,5,4,4,5,4,2,3,1,2,4,2,3, After Midnight| Evening ,,,
565dfb7720c5b5f009a6b043,3,5,1,1,5,3,5,1,2,1,4,4,4,4,2,1,1,2,1,5, After Midnight| Evening ,Male,22,Author|Composer|Journalism|Literature|Music|Producer|Writing
565df6a720c5b5f009a6aecc,3,3,5,1,2,3,3,3,5,4,2,4,4,4,3,2,3,5,3,3,Pre Dawn | Afternoon | Evening ,Male,33,Art|Agriculture|Architecture|Botany|Dance|Design|Fashion|Food|GraphicDesign|Sports|VisualArt
565dfadd20c5b5f009a6b027,4,5,2,2,3,4,5,1,3,4,4,5,2,4,4,1,1,5,1,4, After Midnight| Evening ,Female,21,Photography|GraphicDesign
565dfbe6781f5ee40d833418,5,5,3,2,5,3,4,3,5,5,2,4,4,3,2,4,1,5,4,1,Pre Dawn | Morning | Afternoon ,Male,44,Research
565dfd00781f5ee40d83343e,5,5,2,4,1,5,4,5,3,1,5,4,2,4,2,5,4,4,1,2, Evening | After Midnight,,,
565dfd57781f5ee40d833448,3,3,2,4,2,4,2,4,4,3,4,3,4,4,3,3,4,4,3,2, Evening ,,,
565dfb3120c5b5f009a6b039,4,4,3,3,3,2,5,1,3,3,4,2,4,4,2,2,4,4,2,4, After Midnight,Male,21,Art|Acting|Composer|Design|Film/Television|Literature|Music|Photography|Producer|Singer|Spirituality|Writing
565dfec620c5b5f009a6b09d,1,3,2,3,4,2,4,1,3,5,4,4,3,2,3,1,3,4,3,1, Evening | After Midnight,Male,21,Writing|VisualArt|SpokenWord|Sports|Politics|Music
565dff1420c5b5f009a6b0a6,3,2,5,4,5,5,5,1,1,3,4,5,5,4,3,1,2,4,1,2, After Midnight|Pre Dawn ,,,
565dff52781f5ee40d83346d,2,2,2,2,3,2,4,5,5,2,4,5,5,2,2,1,2,2,3,4, Morning ,Male,40,
565e004d20c5b5f009a6b0d6,4,4,2,1,4,5,2,5,5,4,5,3,4,4,5,2,5,3,2,1, Evening | After Midnight| Afternoon ,,,
565dff4120c5b5f009a6b0b1,4,3,4,4,3,3,5,3,3,5,4,4,4,4,3,4,4,4,2,4, Morning ,Male,19,
565e00b820c5b5f009a6b0ed,4,4,3,2,5,5,4,4,4,4,3,5,4,3,4,2,2,2,1,4, Evening ,Female,20,
565e007320c5b5f009a6b0dc,5,3,3,1,1,3,1,1,3,5,5,1,3,3,5,1,5,3,3,5, After Midnight|Pre Dawn ,,,
565e0aad20c5b5f009a6b215,3,4,3,2,4,4,2,4,4,3,4,4,2,3,4,3,4,4,3,3, Evening | After Midnight| Afternoon ,,,
565e180d781f5ee40d833707,2,2,,,,,,,,,,,,,,,,,,,,,,
565e1b0220c5b5f009a6b370,1,4,4,,,,,,,,,,,,,,,,,,,,,
555b75b8c2822a342d61ca3d,,,,,,,,,,,,,,,,,,,,,,,,
55b27bdcb5d8dbe17f0a98c0,,,,,,,,,,,,,,,,,,,,,,,,
565e291920c5b5f009a6b48c,5,5,5,1,1,3,5,3,3,3,5,3,5,5,3,,,,,,,,,
5550363465296de0779d75a4,,,,,,,,,,,,,,,,,,,,,,,,
55d8f7be41de388c5c9be211,,,,,,,,,,,,,,,,,,,,,,,,
55ee157a728af6110c3ba2b0,5,,,,,,,,,,,,,,,,,,,,,,,
55b53f64f43099823d68c7ec,3,3,5,1,4,4,,,,,,,,,,,,,,,,,,
5610793577e0c70923c2d43c,,,,,,,,,,,,,,,,,,,,,,,,
552d32b67a65104045f83f6e,5,,,,,,,,,,,,,,,,,,,,,,,
565e44c6781f5ee40d833a93,,,,,,,,,,,,,,,,,,,,,,,,
