Gender,mapTo,Count,Prob
Female,Female,2701,0.395982994
Male,Male,4069,0.596540097
non-binary,Non-Binary/Non-Conforming,4,0.000586424
Genderqueer,Non-Binary/Non-Conforming,3,0.000439818
Agender,Non-Binary/Non-Conforming,2,0.000293212
Gender Queer,Non-Binary/Non-Conforming,2,0.000293212
genderfluid,Non-Binary/Non-Conforming,2,0.000293212
Genderfluid,Non-Binary/Non-Conforming,2,0.000293212
neutral,Non-Binary/Non-Conforming,2,0.000293212
Demigirl or Maverique,Non-Binary/Non-Conforming,1,0.000146606
"female-bodied, genderfluid/non-conforming",Non-Binary/Non-Conforming,1,0.000146606
Femme Non-Binary,Non-Binary/Non-Conforming,1,0.000146606
FTM Trans Man,Non-Binary/Non-Conforming,1,0.000146606
gender fluid,Non-Binary/Non-Conforming,1,0.000146606
Gender Fluid,Non-Binary/Non-Conforming,1,0.000146606
Genderfluid-My gender changes with the day,Non-Binary/Non-Conforming,1,0.000146606
Genderfluid; biologically female,Non-Binary/Non-Conforming,1,0.000146606
Genderfluid/queer,Non-Binary/Non-Conforming,1,0.000146606
genderqueer,Non-Binary/Non-Conforming,1,0.000146606
Intersex male by way of tetragametic chimerism,Non-Binary/Non-Conforming,1,0.000146606
intersex/nonbinary,Non-Binary/Non-Conforming,1,0.000146606
MTF,Non-Binary/Non-Conforming,1,0.000146606
Non-bianary,Non-Binary/Non-Conforming,1,0.000146606
Non-Binary/Agender,Non-Binary/Non-Conforming,1,0.000146606
nonbinary,Non-Binary/Non-Conforming,1,0.000146606
trans,Non-Binary/Non-Conforming,1,0.000146606
Transgender,Non-Binary/Non-Conforming,1,0.000146606
Transgender MtF just starting transition.,Non-Binary/Non-Conforming,1,0.000146606
